Time,GaR_h4,GaR_h8
1/1/74,,
4/1/74,,
7/1/74,,
10/1/74,,
1/1/75,-5.599385606,
4/1/75,-4.59567187,
7/1/75,-6.652408138,
10/1/75,-5.868627035,
1/1/76,-6.184708776,-0.651324152
4/1/76,-3.256768023,-0.550175969
7/1/76,-1.903157196,-0.967597996
10/1/76,-1.496407412,-0.627411632
1/1/77,0.160616627,-0.513857436
4/1/77,-1.471359596,-0.117990565
7/1/77,-1.483371746,0.015461066
10/1/77,-0.820850163,0.233007871
1/1/78,-0.540042642,0.619943198
4/1/78,0.064750111,0.417743815
7/1/78,-0.181494607,0.45513882
10/1/78,-2.48289111,0.683762037
1/1/79,-2.139693745,0.836379162
4/1/79,1.907814355,0.962439226
7/1/79,-2.187338113,0.871411813
10/1/79,-2.404965903,0.387385563
1/1/80,-4.259356001,0.349363736
4/1/80,-4.740244604,0.936349331
7/1/80,-4.38887795,0.164860814
10/1/80,-5.400133263,-0.063676155
1/1/81,-5.977467936,-0.430273705
4/1/81,-8.93811928,-0.525877304
7/1/81,-5.800371089,-0.445119448
10/1/81,-3.309455495,-0.61912874
1/1/82,-2.451555251,-0.738098072
4/1/82,-5.435703116,-1.175012271
7/1/82,-3.566882442,-0.570120918
10/1/82,-5.766939738,-0.252528969
1/1/83,-5.470223278,-0.065820065
4/1/83,-2.166512543,-0.604195384
7/1/83,-2.756806072,-0.336110931
10/1/83,-1.472915784,-0.576541825
1/1/84,0.380630524,-0.432453779
4/1/84,1.673807416,0.234625991
7/1/84,1.530663971,0.217734784
10/1/84,1.287198847,0.523166728
1/1/85,0.631828519,0.772278778
4/1/85,0.300340461,0.963855216
7/1/85,-0.642572635,0.902578322
10/1/85,-0.715733421,0.80178751
1/1/86,-0.235735139,0.653737383
4/1/86,-0.330446884,0.508255842
7/1/86,0.548425268,0.313564186
10/1/86,-0.597738644,0.375484986
1/1/87,-0.26444836,0.476566186
4/1/87,-0.185936637,0.492839037
7/1/87,0.367624449,0.578893655
10/1/87,-0.142854486,0.32119675
1/1/88,-0.442343048,0.315402353
4/1/88,-0.813438151,0.319040025
7/1/88,-1.24737335,0.297073651
10/1/88,-0.66139863,0.17434007
1/1/89,-1.650291775,0.031249449
4/1/89,-0.715247353,-0.173656586
7/1/89,-1.553052806,-0.256441678
10/1/89,-0.592618257,-0.275416118
1/1/90,-1.180560675,-0.351396429
4/1/90,-1.483496137,-0.212396132
7/1/90,-1.100633998,-0.190012749
10/1/90,-1.606963136,0.039574069
1/1/91,-0.712593618,-0.023014158
4/1/91,-1.170158373,0.044031811
7/1/91,-2.149563146,0.261887095
10/1/91,-3.546859925,0.270651512
1/1/92,-2.467901049,0.477794281
4/1/92,-0.616251547,0.515181398
7/1/92,-0.411667464,0.272841635
10/1/92,-0.076280364,0.047065782
1/1/93,0.834369065,0.361759913
4/1/93,0.708402418,0.737756745
7/1/93,0.623885585,0.881519331
10/1/93,0.750047542,0.941018162
1/1/94,-0.205216106,1.046393173
4/1/94,0.419633695,1.081108555
7/1/94,0.567403878,1.135063874
10/1/94,1.629298628,1.220646742
1/1/95,1.25344688,1.160691039
4/1/95,1.694801788,1.336987951
7/1/95,0.415304936,1.436669522
10/1/95,1.123762144,1.614076711
1/1/96,0.029715756,1.5359243
4/1/96,-0.131899347,1.528668195
7/1/96,0.579045872,1.239023211
10/1/96,0.321873405,1.29483289
1/1/97,0.163841191,1.084022437
4/1/97,1.41466119,1.007641794
7/1/97,0.32993607,1.024427882
10/1/97,0.304681394,0.921567253
1/1/98,-0.022427874,0.850377463
4/1/98,1.181798348,1.0179432
7/1/98,0.91619676,0.819871843
10/1/98,0.418430198,0.758008291
1/1/99,0.918280016,0.65337852
4/1/99,0.789872002,0.853494745
7/1/99,1.11627788,0.797584456
10/1/99,1.43303524,0.699711205
1/1/00,0.291387223,0.820622104
4/1/00,0.120093393,0.772768097
7/1/00,0.460959743,0.766909698
10/1/00,0.839272158,0.735958996
1/1/01,-1.254908791,0.498225728
4/1/01,0.514566932,0.456050697
7/1/01,-1.729664219,0.431771866
10/1/01,-1.1519408,0.419014416
1/1/02,-2.173707312,0.051828517
4/1/02,-1.1020525,0.213141301
