horizon,percentile,dlgdp_ub,dlgdp_bb,dlgdp_lb,infl_ub,infl_bb,infl_lb,fci_ub,fci_bb,fci_lb,CredGr_ub,CredGr_bb,CredGr_lb,interact_ub,interact_bb,interact_lb,cons_ub,cons_bb,cons_lb
1,5th,58.41509259,46.18390475,33.95271692,-0.453018813,-0.65103484,-0.849050867,0.859105023,0.01693035,-0.825244324,36.87940523,-42.98970151,-122.8588083,2.447067207,0.54295913,-1.361148947,1.177239596,0.037284081,-1.102671433
2,5th,77.1998667,53.47455231,29.74923791,-0.150561774,-0.393230833,-0.635899892,0.39836528,-0.313930894,-1.026227068,36.96360355,-42.96869029,-122.9009841,2.969818667,1.36546825,-0.238882168,0.444272655,-0.688265038,-1.82080273
3,5th,54.25842542,38.06322388,21.86802234,-0.190386587,-0.369417537,-0.548448487,0.018801921,-0.496933401,-1.012668724,-3.713073727,-59.99007128,-116.2670688,1.863199359,0.67675417,-0.509691019,0.755940108,-0.155359576,-1.06665926
4,5th,46.88604115,31.66010351,16.43416588,-0.25903267,-0.462184447,-0.665336224,0.151361081,-0.394250971,-0.939863023,14.93696454,-51.67801674,-118.292998,2.08401587,0.88869767,-0.306620529,1.477516904,0.453236174,-0.571044555
5,5th,23.59378354,11.4036244,-0.786534736,0.057373752,-0.148204432,-0.353782617,-0.064700923,-0.582764126,-1.100827329,-19.47626254,-88.32701894,-157.1777753,2.23410387,0.829787715,-0.574528439,1.176783635,0.022510316,-1.131763004
6,5th,23.43391106,11.16007581,-1.113759446,0.127000824,-0.046660094,-0.220321011,0.009021059,-0.510438377,-1.029897814,-7.431906597,-77.79674725,-148.1615879,0.684336351,-0.985830529,-2.655997409,1.108879908,0.066792016,-0.975295877
7,5th,14.69598492,3.346548823,-8.002887279,0.138276732,-0.038121776,-0.214520284,0.029441288,-0.461927229,-0.953295745,-6.851351659,-71.92539369,-136.9994357,-0.131961677,-1.896610645,-3.661259612,1.517803902,0.540000017,-0.437803867
8,5th,13.35981497,5.405526332,-2.548762307,0.037485136,-0.078770273,-0.195025683,0.072418078,-0.320527875,-0.713473828,-0.389502676,-54.48504208,-108.5805815,-0.542235908,-2.077622061,-3.613008215,1.591057126,0.844823668,0.09859021
9,5th,8.733233307,1.674038549,-5.385156208,0.020799909,-0.076081436,-0.172962782,0.101294433,-0.241755046,-0.584804526,-5.367328805,-54.45771122,-103.5480936,-0.489278216,-1.932213087,-3.375147957,1.833963188,1.182344399,0.530725611
10,5th,12.71601352,6.44929331,0.1825731,-0.016091114,-0.104345158,-0.192599203,0.269406152,-0.028629265,-0.326664681,-11.80858733,-53.17187686,-94.53516639,-0.445698259,-1.623705276,-2.801712293,1.794321432,1.189650036,0.584978641
11,5th,17.50487233,11.22227774,4.93968315,-0.005399423,-0.08754103,-0.169682637,0.547517179,0.257065405,-0.033386369,-36.1115025,-71.6450357,-107.1785689,0.505046691,-0.51076662,-1.52657993,1.421425837,0.819526171,0.217626506
12,5th,11.78235035,6.49639044,1.21043053,-0.04700151,-0.120068312,-0.193135113,0.745778932,0.447065973,0.148353013,-34.67665826,-69.01630007,-103.3559419,0.970427894,0.138349325,-0.693729244,1.61039132,1.070675612,0.530959905
1,50th,28.30901239,20.63589855,12.96278471,0.062655367,-0.084263767,-0.2311829,-0.302370906,-0.663657246,-1.024943585,86.65183747,44.35153497,2.051232467,-0.557743369,-1.450055695,-2.34236802,3.190415667,2.670635091,2.150854516
2,50th,28.11461025,20.82156982,13.52852939,0.030187465,-0.095984226,-0.222155918,-0.118405107,-0.400489941,-0.682574775,90.73319989,47.0980175,3.462835113,-0.241083255,-0.90512469,-1.569166126,3.091310534,2.543825353,1.996340172
