horizon,percentile,dlgdp_ub,dlgdp_bb,dlgdp_lb,infl_ub,infl_bb,infl_lb,fci_ub,fci_bb,fci_lb,CredGr_ub,CredGr_bb,CredGr_lb,interact_ub,interact_bb,interact_lb,cons_ub,cons_bb,cons_lb
1,5th,58.4150926,46.1839048,33.9527169,-0.4530188,-0.6510348,-0.8490509,0.85910502,0.01693035,-0.8252443,36.8794052,-42.989702,-122.85881,2.44706721,0.54295913,-1.3611489,1.1772396,0.03728408,-1.1026714
2,5th,77.1998667,53.4745523,29.7492379,-0.1505618,-0.3932308,-0.6358999,0.39836528,-0.3139309,-1.0262271,36.9636036,-42.96869,-122.90098,2.96981867,1.36546825,-0.2388822,0.44427265,-0.688265,-1.8208027
3,5th,54.2584254,38.0632239,21.8680223,-0.1903866,-0.3694175,-0.5484485,0.01880192,-0.4969334,-1.0126687,-3.7130737,-59.990071,-116.26707,1.86319936,0.67675417,-0.509691,0.75594011,-0.1553596,-1.0666593
4,5th,46.8860412,31.6601035,16.4341659,-0.2590327,-0.4621844,-0.6653362,0.15136108,-0.394251,-0.939863,14.9369645,-51.678017,-118.293,2.08401587,0.88869767,-0.3066205,1.4775169,0.45323617,-0.5710446
5,5th,23.5937835,11.4036244,-0.7865347,0.05737375,-0.1482044,-0.3537826,-0.0647009,-0.5827641,-1.1008273,-19.476263,-88.327019,-157.17778,2.23410387,0.82978772,-0.5745284,1.17678364,0.02251032,-1.131763
6,5th,23.4339111,11.1600758,-1.1137594,0.12700082,-0.0466601,-0.220321,0.00902106,-0.5104384,-1.0298978,-7.4319066,-77.796747,-148.16159,0.68433635,-0.9858305,-2.6559974,1.10887991,0.06679202,-0.9752959
7,5th,14.6959849,3.34654882,-8.0028873,0.13827673,-0.0381218,-0.2145203,0.02944129,-0.4619272,-0.9532957,-6.8513517,-71.925394,-136.99944,-0.1319617,-1.8966106,-3.6612596,1.5178039,0.54000002,-0.4378039
8,5th,13.359815,5.40552633,-2.5487623,0.03748514,-0.0787703,-0.1950257,0.07241808,-0.3205279,-0.7134738,-0.3895027,-54.485042,-108.58058,-0.5422359,-2.0776221,-3.6130082,1.59105713,0.84482367,0.09859021
9,5th,8.73323331,1.67403855,-5.3851562,0.02079991,-0.0760814,-0.1729628,0.10129443,-0.241755,-0.5848045,-5.3673288,-54.457711,-103.54809,-0.4892782,-1.9322131,-3.375148,1.83396319,1.1823444,0.53072561
10,5th,12.7160135,6.44929331,0.1825731,-0.0160911,-0.1043452,-0.1925992,0.26940615,-0.0286293,-0.3266647,-11.808587,-53.171877,-94.535166,-0.4456983,-1.6237053,-2.8017123,1.79432143,1.18965004,0.58497864
